model;range;efficiency;capacity;acceleration;topspeed;fastcharge;Charge Speed
Aiways U5 ;330 km;191 Wh/km;63.0;7.5 sec;150 km/h;340 km/h;29 km/h
Audi Q4 Sportback e-tron 35;295 km;176 Wh/km;52.0;9.0 sec;160 km/h;370 km/h;35 km/h
Audi Q4 Sportback e-tron 40;425 km;180 Wh/km;76.6;8.5 sec;160 km/h;540 km/h;52 km/h
Audi Q4 Sportback e-tron 50 quattro;400 km;192 Wh/km;76.6;6.2 sec;180 km/h;500 km/h;49 km/h
Audi Q4 e-tron 35;285 km;182 Wh/km;52.0;9.0 sec;160 km/h;360 km/h;34 km/h
Audi Q4 e-tron 40;405 km;189 Wh/km;76.6;8.5 sec;160 km/h;510 km/h;49 km/h
Audi Q4 e-tron 45 quattro;385 km;199 Wh/km;76.6;6.9 sec;180 km/h;490 km/h;47 km/h
Audi Q4 e-tron 50 quattro;385 km;199 Wh/km;76.6;6.2 sec;180 km/h;490 km/h;47 km/h
Audi e-tron 50 quattro;280 km;231 Wh/km;64.7;6.8 sec;190 km/h;470 km/h;40 km/h
Audi e-tron 55 quattro;365 km;237 Wh/km;86.5;5.7 sec;200 km/h;590 km/h;39 km/h
Audi e-tron 55 quattro;365 km;237 Wh/km;86.5;5.7 sec;200 km/h;590 km/h;39 km/h
Audi e-tron GT RS;405 km;210 Wh/km;85.0;3.3 sec;250 km/h;1000 km/h;45 km/h
Audi e-tron GT quattro;420 km;202 Wh/km;85.0;4.1 sec;245 km/h;1030 km/h;46 km/h
Audi e-tron S 55 quattro;320 km;270 Wh/km;86.5;4.5 sec;210 km/h;510 km/h;35 km/h
Audi e-tron S Sportback 55 quattro;335 km;258 Wh/km;86.5;4.5 sec;210 km/h;540 km/h;36 km/h
Audi e-tron Sportback 50 quattro;295 km;219 Wh/km;64.7;6.8 sec;190 km/h;490 km/h;43 km/h
Audi e-tron Sportback 55 quattro;375 km;231 Wh/km;86.5;5.7 sec;200 km/h;600 km/h;41 km/h
Audi e-tron Sportback 55 quattro;375 km;231 Wh/km;86.5;5.7 sec;200 km/h;600 km/h;41 km/h
BMW i3 120 Ah;235 km;161 Wh/km;37.9;7.3 sec;150 km/h;270 km/h;58 km/h
BMW i3s 120 Ah;230 km;165 Wh/km;37.9;6.9 sec;160 km/h;260 km/h;57 km/h
BMW i4 M50;450 km;179 Wh/km;80.7;3.9 sec;225 km/h;630 km/h;52 km/h
BMW i4 eDrive40;475 km;170 Wh/km;80.7;5.7 sec;190 km/h;660 km/h;55 km/h
BMW iX M60;485 km;217 Wh/km;105.2;3.8 sec;250 km/h;590 km/h;43 km/h
BMW iX xDrive40;350 km;203 Wh/km;71.0;6.1 sec;200 km/h;470 km/h;46 km/h
BMW iX xDrive50;505 km;208 Wh/km;105.2;4.6 sec;200 km/h;620 km/h;45 km/h
BMW iX3 ;385 km;192 Wh/km;74.0;6.8 sec;180 km/h;520 km/h;49 km/h
CUPRA Born 110 kW - 45 kWh;275 km;164 Wh/km;45.0;8.9 sec;160 km/h;410 km/h;38 km/h
CUPRA Born 150 kW - 58 kWh;350 km;166 Wh/km;58.0;7.3 sec;160 km/h;490 km/h;56 km/h
CUPRA Born 170 kW - 58 kWh;345 km;168 Wh/km;58.0;6.6 sec;160 km/h;480 km/h;56 km/h
CUPRA Born 170 kW - 77 kWh;450 km;171 Wh/km;77.0;7.0 sec;160 km/h;570 km/h;55 km/h
Citroen e-Berlingo M 50 kWh;200 km;225 Wh/km;45.0;11.7 sec;135 km/h;320 km/h;28 km/h
Citroen e-Berlingo XL 50 kWh;195 km;231 Wh/km;45.0;11.7 sec;135 km/h;310 km/h;27 km/h
Citroen e-C4 ;265 km;170 Wh/km;45.0;9.7 sec;150 km/h;420 km/h;37 km/h
Citroen e-SpaceTourer M 50 kWh;180 km;250 Wh/km;45.0;12.1 sec;130 km/h;290 km/h;25 km/h
Citroen e-SpaceTourer M 75 kWh;250 km;260 Wh/km;65.0;13.3 sec;130 km/h;290 km/h;24 km/h
Citroen e-SpaceTourer XL 50 kWh;175 km;257 Wh/km;45.0;12.1 sec;130 km/h;280 km/h;24 km/h
Citroen e-SpaceTourer XL 75 kWh;250 km;260 Wh/km;65.0;13.3 sec;130 km/h;290 km/h;24 km/h
Citroen e-SpaceTourer XS 50 kWh;180 km;250 Wh/km;45.0;12.1 sec;130 km/h;290 km/h;25 km/h
DS 3 Crossback E-Tense;260 km;173 Wh/km;45.0;8.7 sec;150 km/h;420 km/h;36 km/h
Dacia Spring Electric;170 km;158 Wh/km;26.8;15.0 sec;125 km/h;170 km/h;36 km/h
Fiat 500e 3+1;235 km;159 Wh/km;37.3;9.0 sec;150 km/h;390 km/h;59 km/h
Fiat 500e Cabrio;230 km;162 Wh/km;37.3;9.0 sec;150 km/h;380 km/h;58 km/h
Fiat 500e Hatchback 24 kWh;135 km;158 Wh/km;21.3;9.5 sec;135 km/h;230 km/h;59 km/h
Fiat 500e Hatchback 42 kWh;235 km;159 Wh/km;37.3;9.0 sec;150 km/h;390 km/h;59 km/h
Ford Mustang Mach-E ER AWD;420 km;210 Wh/km;88.0;5.8 sec;180 km/h;410 km/h;45 km/h
Ford Mustang Mach-E ER RWD;440 km;200 Wh/km;88.0;7.0 sec;180 km/h;430 km/h;47 km/h
Ford Mustang Mach-E GT;410 km;215 Wh/km;88.0;4.4 sec;200 km/h;400 km/h;44 km/h
Ford Mustang Mach-E SR AWD;330 km;206 Wh/km;68.0;6.3 sec;180 km/h;360 km/h;45 km/h
Ford Mustang Mach-E SR RWD;345 km;197 Wh/km;68.0;6.9 sec;180 km/h;380 km/h;47 km/h
Honda e ;170 km;168 Wh/km;28.5;9.0 sec;145 km/h;190 km/h;33 km/h
Honda e Advance;170 km;168 Wh/km;28.5;8.3 sec;145 km/h;190 km/h;33 km/h
Hyundai IONIQ 5 Long Range 2WD;385 km;189 Wh/km;72.6;7.4 sec;185 km/h;950 km/h;50 km/h
Hyundai IONIQ 5 Long Range AWD;375 km;194 Wh/km;72.6;5.2 sec;185 km/h;920 km/h;48 km/h
Hyundai IONIQ 5 Standard Range 2WD;310 km;187 Wh/km;58.0;8.5 sec;185 km/h;720 km/h;50 km/h
Hyundai IONIQ 5 Standard Range AWD;305 km;190 Wh/km;58.0;6.1 sec;185 km/h;710 km/h;49 km/h
Hyundai IONIQ Electric;250 km;153 Wh/km;38.3;9.7 sec;165 km/h;220 km/h;40 km/h
Hyundai Kona Electric 39 kWh;250 km;157 Wh/km;39.2;9.9 sec;155 km/h;210 km/h;39 km/h
Hyundai Kona Electric 64 kWh;395 km;162 Wh/km;64.0;7.9 sec;167 km/h;370 km/h;58 km/h
JAC iEV7s ;225 km;173 Wh/km;39.0;12.0 sec;132 km/h;160 km/h;32 km/h
Jaguar I-Pace EV400;380 km;223 Wh/km;84.7;4.8 sec;200 km/h;360 km/h;42 km/h
Kia EV6 GT;395 km;196 Wh/km;77.4;3.5 sec;260 km/h;970 km/h;48 km/h
Kia EV6 Long Range 2WD;420 km;184 Wh/km;77.4;7.3 sec;185 km/h;1030 km/h;51 km/h
Kia EV6 Long Range AWD;410 km;189 Wh/km;77.4;5.2 sec;185 km/h;1010 km/h;50 km/h
Kia EV6 Standard Range 2WD;320 km;181 Wh/km;58.0;8.5 sec;185 km/h;740 km/h;52 km/h
Kia e-Niro 39 kWh;235 km;167 Wh/km;39.2;9.8 sec;155 km/h;230 km/h;37 km/h
Kia e-Niro 64 kWh;370 km;173 Wh/km;64.0;7.8 sec;167 km/h;350 km/h;35 km/h
Kia e-Soul 39 kWh;230 km;170 Wh/km;39.2;9.9 sec;157 km/h;220 km/h;36 km/h
Kia e-Soul 64 kWh;370 km;173 Wh/km;64.0;7.9 sec;167 km/h;350 km/h;35 km/h
Lexus UX 300e;235 km;191 Wh/km;45.0;7.5 sec;160 km/h;150 km/h;29 km/h
Lightyear One ;575 km;104 Wh/km;60.0;10.0 sec;150 km/h;540 km/h;170 km/h
Lucid Air Grand Touring;630 km;167 Wh/km;105.0;3.2 sec;270 km/h;1390 km/h;110 km/h
Lucid Air Pure;540 km;157 Wh/km;85.0;4.2 sec;200 km/h;1410 km/h;110 km/h
Lucid Air Touring;530 km;160 Wh/km;85.0;3.4 sec;250 km/h;1390 km/h;110 km/h
MG MG5 EV;295 km;165 Wh/km;48.8;7.7 sec;185 km/h;340 km/h;34 km/h
