model;range;efficiency;capacity;acceleration;topspeed;fastcharge;chargespeed
Aiways U5 ;330;191;63.0;7.5 sec;150;340;29
Audi Q4 Sportback e-tron 35;295;176;52.0;9.0 sec;160;370;35
Audi Q4 Sportback e-tron 40;425;180;76.6;8.5 sec;160;540;52
Audi Q4 Sportback e-tron 50 quattro;400;192;76.6;6.2 sec;180;500;49
Audi Q4 e-tron 35;285;182;52.0;9.0 sec;160;360;34
Audi Q4 e-tron 40;405;189;76.6;8.5 sec;160;510;49
Audi Q4 e-tron 45 quattro;385;199;76.6;6.9 sec;180;490;47
Audi Q4 e-tron 50 quattro;385;199;76.6;6.2 sec;180;490;47
Audi e-tron 50 quattro;280;231;64.7;6.8 sec;190;470;40
Audi e-tron 55 quattro;365;237;86.5;5.7 sec;200;590;39
Audi e-tron 55 quattro;365;237;86.5;5.7 sec;200;590;39
Audi e-tron GT RS;405;210;85.0;3.3 sec;250;1000;45
Audi e-tron GT quattro;420;202;85.0;4.1 sec;245;1030;46
Audi e-tron S 55 quattro;320;270;86.5;4.5 sec;210;510;35
Audi e-tron S Sportback 55 quattro;335;258;86.5;4.5 sec;210;540;36
Audi e-tron Sportback 50 quattro;295;219;64.7;6.8 sec;190;490;43
Audi e-tron Sportback 55 quattro;375;231;86.5;5.7 sec;200;600;41
Audi e-tron Sportback 55 quattro;375;231;86.5;5.7 sec;200;600;41
BMW i3 120 Ah;235;161;37.9;7.3 sec;150;270;58
BMW i3s 120 Ah;230;165;37.9;6.9 sec;160;260;57
BMW i4 M50;450;179;80.7;3.9 sec;225;630;52
BMW i4 eDrive40;475;170;80.7;5.7 sec;190;660;55
BMW iX M60;485;217;105.2;3.8 sec;250;590;43
BMW iX xDrive40;350;203;71.0;6.1 sec;200;470;46
BMW iX xDrive50;505;208;105.2;4.6 sec;200;620;45
BMW iX3 ;385;192;74.0;6.8 sec;180;520;49
CUPRA Born 110 kW - 45 kWh;275;164;45.0;8.9 sec;160;410;38
CUPRA Born 150 kW - 58 kWh;350;166;58.0;7.3 sec;160;490;56
CUPRA Born 170 kW - 58 kWh;345;168;58.0;6.6 sec;160;480;56
CUPRA Born 170 kW - 77 kWh;450;171;77.0;7.0 sec;160;570;55
Citroen e-Berlingo M 50 kWh;200;225;45.0;11.7 sec;135;320;28
Citroen e-Berlingo XL 50 kWh;195;231;45.0;11.7 sec;135;310;27
Citroen e-C4 ;265;170;45.0;9.7 sec;150;420;37
Citroen e-SpaceTourer M 50 kWh;180;250;45.0;12.1 sec;130;290;25
Citroen e-SpaceTourer M 75 kWh;250;260;65.0;13.3 sec;130;290;24
Citroen e-SpaceTourer XL 50 kWh;175;257;45.0;12.1 sec;130;280;24
Citroen e-SpaceTourer XL 75 kWh;250;260;65.0;13.3 sec;130;290;24
Citroen e-SpaceTourer XS 50 kWh;180;250;45.0;12.1 sec;130;290;25
DS 3 Crossback E-Tense;260;173;45.0;8.7 sec;150;420;36
Dacia Spring Electric;170;158;26.8;15.0 sec;125;170;36
Fiat 500e 3+1;235;159;37.3;9.0 sec;150;390;59
Fiat 500e Cabrio;230;162;37.3;9.0 sec;150;380;58
Fiat 500e Hatchback 24 kWh;135;158;21.3;9.5 sec;135;230;59
Fiat 500e Hatchback 42 kWh;235;159;37.3;9.0 sec;150;390;59
Ford Mustang Mach-E ER AWD;420;210;88.0;5.8 sec;180;410;45
Ford Mustang Mach-E ER RWD;440;200;88.0;7.0 sec;180;430;47
Ford Mustang Mach-E GT;410;215;88.0;4.4 sec;200;400;44
Ford Mustang Mach-E SR AWD;330;206;68.0;6.3 sec;180;360;45
Ford Mustang Mach-E SR RWD;345;197;68.0;6.9 sec;180;380;47
Honda e ;170;168;28.5;9.0 sec;145;190;33
Honda e Advance;170;168;28.5;8.3 sec;145;190;33
Hyundai IONIQ 5 Long Range 2WD;385;189;72.6;7.4 sec;185;950;50
Hyundai IONIQ 5 Long Range AWD;375;194;72.6;5.2 sec;185;920;48
Hyundai IONIQ 5 Standard Range 2WD;310;187;58.0;8.5 sec;185;720;50
Hyundai IONIQ 5 Standard Range AWD;305;190;58.0;6.1 sec;185;710;49
Hyundai IONIQ Electric;250;153;38.3;9.7 sec;165;220;40
Hyundai Kona Electric 39 kWh;250;157;39.2;9.9 sec;155;210;39
Hyundai Kona Electric 64 kWh;395;162;64.0;7.9 sec;167;370;58
JAC iEV7s ;225;173;39.0;12.0 sec;132;160;32
Jaguar I-Pace EV400;380;223;84.7;4.8 sec;200;360;42
Kia EV6 GT;395;196;77.4;3.5 sec;260;970;48
Kia EV6 Long Range 2WD;420;184;77.4;7.3 sec;185;1030;51
Kia EV6 Long Range AWD;410;189;77.4;5.2 sec;185;1010;50
Kia EV6 Standard Range 2WD;320;181;58.0;8.5 sec;185;740;52
Kia e-Niro 39 kWh;235;167;39.2;9.8 sec;155;230;37
Kia e-Niro 64 kWh;370;173;64.0;7.8 sec;167;350;35
Kia e-Soul 39 kWh;230;170;39.2;9.9 sec;157;220;36
Kia e-Soul 64 kWh;370;173;64.0;7.9 sec;167;350;35
Lexus UX 300e;235;191;45.0;7.5 sec;160;150;29
Lightyear One ;575;104;60.0;10.0 sec;150;540;170
Lucid Air Grand Touring;630;167;105.0;3.2 sec;270;1390;110
Lucid Air Pure;540;157;85.0;4.2 sec;200;1410;110
Lucid Air Touring;530;160;85.0;3.4 sec;250;1390;110
MG MG5 EV;295;165;48.8;7.7 sec;185;340;34
MG MG5 EV Long Range;340;168;57.0;7.7 sec;185;340;33
MG MG5 Electric;340;168;57.0;8.3 sec;180;340;56
MG Marvel R ;340;191;65.0;7.9 sec;200;400;49
MG Marvel R Performance;330;197;65.0;4.9 sec;200;390;47
